Group,SubGroup,TimePoint,Limosilactobacillus,Enterococcus,Ligilactobacillus,Klebsiella,Lactobacillus,Cutibacterium,unclassified_Enterobacteriaceae,Staphylococcus,Corynebacterium,Aridibacter,Mammaliicoccus,NA,Noviherbaspirillum,Streptococcus,Paracoccus,Pseudomonas,Cloacibacterium,Halopseudomonas,Brevundimonas,Kocuria,Micrococcus,Faecalibaculum,Salinicoccus,Pseudoxanthomonas,Acinetobacter
BM,Antibiotics,1,1.345453723,55.76283834,0.208036542,20.30843679,4.423037786,4.389118784,9.083508582,1.390679058,2.057752753,0,0.097234471,0.045225335,0,0,0,0,0,0.208036542,0,0.081405603,0,0,0,0,0
BM,Antibiotics,1,15.76530804,42.22648752,8.02378533,12.88622935,4.738248466,7.466787099,3.319408378,0.748936811,0,0,0.139249558,0.022581009,0,3.511346957,0,0,0,0,0,0,0,0,0,0,0
BM,Antibiotics,1,1.590220684,6.431198615,21.2624405,0.010817828,0.524664647,20.24556469,0,0.719385547,16.65945478,0,0,9.205971441,0,5.441367373,0,0,11.32085677,0,0,0,0,0,0,0,0
BM,Antibiotics,2,0,42.39130435,19.52583491,2.00063012,0,8.057655955,0.40957782,10.75141777,0,0,0,0,0,0.630119723,14.03591682,0,0,0,0,0,0,0,0,0,0
BM,Antibiotics,2,0,17.62153475,5.504218562,28.59783045,0,28.01928485,5.142627561,2.322217758,7.231820008,0,0,0.096424267,0,0,0,0,0,0,0,0,0,2.997187626,0,0,0
BM,Antibiotics,2,0,73.28467153,0.041710115,0.010427529,0,3.169968717,0.010427529,6.652763295,6.590198123,0,0,0,0,0,0,0,0,0,0,4.17101147,0,0,6.058394161,0,0
BM,Antibiotics,3,1.08029756,0.113499617,0,72.21857565,0.597582321,1.716168909,22.59189367,0,0,0,0,0.192812603,0,0,1.118586588,0,0.370583087,0,0,0,0,0,0,0,0
BM,Antibiotics,3,0,0.001541212,3.356759756,59.08082116,6.858393441,8.260896369,17.42648419,1.203686579,0,0,0,0.171074533,0,0.001541212,0,0.040071512,0.428456939,0.123296961,1.422538684,0,0,0,0,0,1.086554466
BM,Antibiotics,4,69.94502775,0.00781596,24.05752547,1.208868509,0.00260532,2.654821145,0.539301253,0,0.250110726,0,0,0.00521064,0,0,0.01563192,0,0,0,0,0,0,0,0,0,0
BM,Antibiotics,4,73.20958475,0,15.74912089,8.108990988,0.672546646,0.299763648,1.36430891,0,0,0,0.001921562,0.011529371,0,0,0.267097097,0,0,0,0,0,0,0,0,0,0
BM,Control,1,58.20552147,0.057515337,0.437116564,0,40.86656442,0.034509202,0,0,0.023006135,0,0.003834356,0.019171779,0,0.038343558,0,0.088190184,0.026840491,0,0,0,0,0,0,0,0.011503067
BM,Control,1,67.40232627,0.1565762,7.396361467,0,23.82195049,0.082016105,0,0.022368029,0.022368029,0,0.082016105,0.551744706,0,0,0,0.096928124,0,0,0,0,0,0,0,0,0.014912019
BM,Control,1,73.1615494,0.117125408,10.69187652,0,13.61582866,0.096210156,0,0.020915251,0,0,0.121308458,1.33857609,0,0,0,0.008366101,0,0.020915251,0,0,0,0.020915251,0,0,0
BM,Control,2,50.02213205,0.022132055,11.99557359,0.029509406,37.42530432,0.014754703,0.014754703,0,0,0,0.092216894,0.165990409,0,0,0,0,0,0,0,0,0,0,0,0,0
BM,Control,2,56.19250309,0,0.281477413,0,43.23767678,0.034326514,0.020595908,0.006865303,0.109844844,0,0.006865303,0.034326514,0,0,0,0.006865303,0.020595908,0,0,0,0,0,0,0,0
BM,Control,3,41.13455848,0,4.391839277,0,54.29060894,0,0,0.003893475,0.003893475,0,0.007786949,0.003893475,0,0,0,0,0,0,0,0,0,0,0,0,0
BM,Control,3,43.64734477,0.022096192,9.980113427,0.007365397,46.20313766,0.007365397,0,0,0,0,0.029461589,0,0,0,0.007365397,0,0,0,0,0.007365397,0,0,0,0,0
BM,Control,4,32.95631692,0.001137876,27.77556524,0,39.16570895,0.011378765,0,0.005689382,0,0,0,0,0,0,0.001137876,0,0,0,0,0.005689382,0,0,0,0,0
GVHD,Antibiotics,1,0.159242008,95.79999204,1.214220311,1.520761177,0.011943151,0.171185159,0.680759584,0,0,0,0.39412397,0.001990525,0,0,0,0,0,0,0,0,0,0,0,0,0
GVHD,Antibiotics,1,0.432469432,96.17311222,2.131234249,0.280016179,0,0.244236334,0.080893563,0,0.05444759,0,0.332908124,0.001555645,0,0.015556454,0.024890327,0,0,0,0,0,0,0,0,0,0
GVHD,Antibiotics,1,0,83.80733945,0.411494873,0.55990286,0,6.017269293,0.281975175,0.867512142,0,0,1.435509984,0,0,0.056664868,0,0,0,0,0,0,1.369400971,0,0,0,2.155963303
GVHD,Antibiotics,1,0,77.14793601,0.075054316,8.003160182,0,5.510566858,2.65060241,0.815721904,0.562907367,0,0.003950227,0.130357496,0,0,0.286391468,0,0.264665218,1.412206202,0,0.928303377,0,0,0,0,0
GVHD,Antibiotics,1,0.003154922,68.73314088,0.777688388,6.989730727,0,13.63557491,1.706813055,5.803479879,0.009464767,0,0,0.018929535,0,0,1.747827047,0.001577461,0,0,0,0.018929535,0,0,0,0,0
GVHD,Antibiotics,1,0.004508058,47.50140877,0,5.082835569,0.002254029,39.86475826,0.710019159,0.473346106,0,0,0,0.036064465,0,1.582328412,0.531950862,0,0,0,0.065366843,0,0.081145047,0,0,0,0
GVHD,Antibiotics,1,0,28.91983531,0.687817874,0,0,33.25260354,0,4.892225721,0.319689998,0,0,1.685638169,0,7.742794866,0,0,0.014531364,1.913296198,2.707677404,2.613223541,4.197142165,0,0,0,0
GVHD,Antibiotics,2,40.33918509,2.373211964,11.5301257,14.58062419,14.32596446,3.901170351,2.660381448,1.376246207,1.13242306,0,2.11313394,1.137841352,0,0,0,0.070437798,0,0.081274382,0,0,0,0,0,0,1.766363242
GVHD,Antibiotics,2,0,2.279141891,0,0.035698747,1.78493736,52.55190263,1.549548746,5.717377481,2.756612635,0,0,0.438425239,5.111614364,0.323519896,0.90585571,4.48911746,0,1.574091634,0.146141746,1.897611531,1.24722498,0,0,0,0.123830029
GVHD,Antibiotics,2,0,15.22739827,0,10.05339716,0.883815135,46.58442276,0.055238446,5.431780519,0.86540232,0,0.018412815,0.036825631,0,0.368256306,0,0,0,6.278770024,6.6102007,0,0,0,0,5.542257411,0.018412815
GVHD,Antibiotics,2,18.79804333,0.0174703,5.590496157,0.541579315,25.78616352,9.503843466,0.139762404,0,0,34.95807128,0,4.664570231,0,0,0,0,0,0,0,0,0,0,0,0,0
GVHD,Antibiotics,3,0.908189363,0.817718392,1.080432173,74.67682725,1.567583555,0.012178785,20.32813125,0.250534997,0,0,0.03827618,0.207039337,0,0.113088714,0,0,0,0,0,0,0,0,0,0,0
