	Mouse_6.8	Mous_12.8	Mous_21.8	Mouse_24.8	Mouse_26.8	Mouse_27.8	Mouse_28.8	Mouse_34.8	Mouse_37.8	Mouse_49.8	Mouse_52.8	Mouse_56.8	Mouse_65.8	Mouse_66.8	Mouse_67.8	Mouse_8.8	Mouse_9.8	Mouse_15.8	Mouse_19.8	Mouse_22.8	Mouse_23.8	Mouse_25.8	Mouse_29.8	Mouse_30.8	Mouse_53.8	Mouse_54.8	Mouse_55.8	Mouse_70.8	Mouse_71.8	Mouse_1.8	Mouse_5.8	Mouse_31.8	Mouse_32.8	Mouse_33.8	Mouse_36.8	Mouse_38.8	Mouse_39.8	Mouse_40.8	Mouse_50.8	Mouse_51.8	Mouse_57.8	Mouse_63.8	Mouse_64.8	Mouse_0.8	Mouse_0.16	Mouse_0.24	Mouse_7.8	Mouse_10.8	Mouse_41.8	Mouse_42.8	Mouse_43.8	Mouse_45.8	Mouse_46.8	Mouse_47.8	Mouse_58.8	Mouse_59.8	Mouse_60.8	Mouse_62.8
zOTU_1	474.123319345722	183.853997127812	438.581095596133	0	4.38111298482293	16.3934156378601	0	0.859553349875931	0	0.573889993373095	0	0	94.0976723950402	163.435108914516	153.577523983554	19.3152448838814	162.448610841267	36.73237724842	2.10168668850868	0	3.42292490118577	0	0	0	0	0	0	24.0555555555556	17.7264103844234	90.8065961641871	130.842509603073	0	0	0	0	0	0	0	0	0	0	5.31855807743658	51.6958605664488	0	0	0	128.591327201051	116.551426583159	0.501447596988998	0	0	0	0	2.75796178343949	211.673566878981	1.79110651499483	0.700080840743735	0
zOTU_10	23.583797208187	9.43106749640977	0	0	0	0	0	0	0	0	0	0	8.47726778333696	3.48746110195863	2.21544084056647	4.77902966199126	0.504760054400622	16.8400583373845	2.31185535735954	0	0	0	0	0	0	0	0	2.03286384976526	19.0234648027958	2.32837426062018	2.45527711724895	0	0	0	0	0	0	0	0	0	0	10.6371161548732	2.35838779956427	7.45199275362319	13.332400279916	13.6843542723371	6.68561103810775	4.94168406402227	0	0	0	0	0	0	0	0	0	18.0679281901989
zOTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0.282575592777899	4.28006589785832	0	1.39388365141412	0.168253351466874	0.210500729217307	0	0	0	0	0	0	0	0	0	2.03286384976526	3.89116325511732	0.155224950708012	0.316809950612768	0	0	0	0	0	0	0	0	0	0	0.346862483311081	1.41503267973856	8.23641304347826	5.30265920223933	0.844713226687476	0	0.964231036882394	0	0	0	0	0	0	0	0	0	1.68073750606502
zOTU_1000	0.14832576860495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0841266757334369	0	0	0	0	0	0	0	0	0	0	0	0	0.155224950708012	0.158404975306384	0	0	0	0	0	0	0	0	0	0	0.231241655540721	0	0.392210144927536	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0.0941918642592995	0.951125755079627	1.74070351758794	0	0.336506702933748	0.63150218765192	0.105084334425434	0	0	0	0	0	0	0	0	0.564684402712572	1.29705441837244	0	0.237607462959576	0	0	0	0	0	0	0	0	0	0	1.27182910547397	0.283006535947712	0.261473429951691	0.606018194541638	3.04096761607491	0.284494086727989	0.964231036882394	0	0	0	0	0	0	0	0	0	1.40061458838751
zOTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168942645337495	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11562082777036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634083836719751	0.158245774326176	0.597378707748908	0	0.105250364608653	0	0	0	0	0	0	0	0	0	0.338810641627543	1.1529372607755	0.155224950708012	0.0792024876531919	0	0	0	0	0	0	0	0	0	0	0.11562082777036	0.188671023965142	2.74547101449275	1.06053184044787	0.844713226687476	0	0.482115518441197	0	0	0	0	0	0	0	0.895553257497415	0	0.280122917677503
zOTU_1011	0.0741628843024749	0	0	0	0	0	0	0	0	0	0	0	0.753534914074396	0.792604795899689	0	0	0.336506702933748	3.1575109382596	0.630506006552603	0	0	0	0	0	0	0	0	0	1.00882010317857	0.776124753540061	0.396012438265959	0	0	0	0	0	0	0	0	0	0	0.578104138851802	0.566013071895425	1.96105072463768	0.151504548635409	0.844713226687476	0.711235216819974	0.120528879610299	0	0	0	0	0	0	0	0	0	0.420184376516254
zOTU_1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315253003276301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151504548635409	0	0	0	0	0	0	0	0	0	0	0	0	0.420184376516254
zOTU_1017	0	0	0	0	0	0	0	0	0	0	0	0	0.470959321296498	0.792604795899689	0	0	0.336506702933748	0.105250364608653	0.525421672127169	0	0	0	0	0	0	0	0	0.677621283255086	0.432351472790814	0	0.158404975306384	0	0	0	0	0	0	0	0	0	0	1.04058744993324	0.566013071895425	2.35326086956522	1.51504548635409	1.52048380803746	0	0	0	0	0	0	0	0	0	0	0	1.26055312954876
zOTU_1018	0.14832576860495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.432351472790814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140061458838751
zOTU_1019	0.14832576860495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398252471832605	0.0841266757334369	0	0	0	0	0	0	0	0	0	0	0	0	0.776124753540061	0.158404975306384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142247043363995	0.241057759220598	0	0	0	0	0	0	0	0	0	0
zOTU_102	0.0741628843024749	0.103638104356151	0	0	0	0	0	0	0	0	0	0	0.847726778333696	4.75562877539813	1.10772042028323	0.199126235916303	0.168253351466874	0.842002916869227	0.84067467540347	0	0	0	0	0	0	0	0	0.225873761085029	2.30587452155101	0	0.792024876531919	0	0	0	0	0	0	0	0	0	0	0	0.188671023965142	6.01388888888889	11.0598320503849	1.52048380803746	0	0.723173277661795	0	0	0	0	0	0	0	0	0	2.10092188258127
zOTU_1025	0.74162884302475	0	0	0	0	0	0	0	0	0	0	0	0.847726778333696	2.21929342851913	1.50333485609868	2.58864106691193	1.68253351466874	0.421001458434614	0.630506006552603	0	0	0	0	0	0	0	0	2.59754825247783	1.00882010317857	0.465674852124037	0.396012438265959	0	0	0	0	0	0	0	0	0	0	1.96555407209613	2.64139433551198	5.49094202898551	4.69664100769769	3.3788529067499	0.284494086727989	1.56687543493389	0	0	0	0	0	0	0	0	0	0.420184376516254
zOTU_1026	0.0741628843024749	0	0	0	0	0	0	0	0	0	0	0	0.282575592777899	0	0.0791228871630882	0	0	0.210500729217307	0	0	0	0	0	0	0	0	0	0	0.432351472790814	0	0.0792024876531919	0	0	0	0	0	0	0	0	0	0	0	0.0943355119825708	0.261473429951691	0.151504548635409	0.168942645337495	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1027	0.370814421512375	0.310914313068454	0	0	0	0	0	0	0	0	0	0	0	0.158520959179938	0.0791228871630882	0	0	0.31575109382596	0	0	0	0	0	0	0	0	0	0	0.288234315193876	0	0	0	0	0	0	0	0	0	0	0	0	0.231241655540721	0	0	0	0.168942645337495	0	0	0	0	0	0	0	0	0	0	0	0.280122917677503
zOTU_103	6.30384516571037	0	0	0	0	0	0	0	0	0	0	0	1.97802914944529	1.90225151015925	0.158245774326176	1.19475741549782	1.43015348746843	0	5.46438539012256	0	0	0	0	0	0	0	0	0	0	4.19107366911633	0.0792024876531919	0	0	0	0	0	0	0	0	0	0	1.1562082777036	0.471677559912854	0	0	0	0	0	0	0	0	0	0	0	0	0	0.700080840743735	10.6446708717451
zOTU_1030	0	0	0	0	0	0	0	0	0	0	0	0	0.282575592777899	0	0.0791228871630882	0	0	0.842002916869227	2.62710836063584	0	0	0	0	0	0	0	0	0	0.288234315193876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284494086727989	0	0	0	0	0	0	0	0	0	0	0
zOTU_1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.700307294193757
zOTU_1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105084334425434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92846207376479	0	0	0	0	0	0	0	0	0	0
zOTU_1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144117157596938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420184376516254
zOTU_1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338810641627543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576564580559254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1048	0	0	0	0	0	0	0	0	0	0	0	0	0.282575592777899	0.951125755079627	0.712105984467793	3.58427224649345	1.00952010880124	0.526251823043267	1.15592767867977	0	0	0	0	0	0	0	0	1.80699008868023	3.60292893992345	0.310449901416024	0.633619901225535	0	0	0	0	0	0	0	0	0	0	1.1562082777036	1.98104575163399	1.30736714975845	0.303009097270819	1.35154116269996	2.13370565045992	2.41057759220598	0	1.72509960159363	0.214515729502106	0	0.428925210500248	0.612880396319887	0	0	0	0
zOTU_1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31575109382596	0.315253003276301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.482115518441197	0	0	0	0	0	0	0	0	0	0
zOTU_105	0.14832576860495	0	0	0	0	0	0	0	0	0	0	0	1.78964542092669	1.10964671425956	3.00666971219735	0.597378707748908	0.252380027200311	0	0.105084334425434	0	0	0	0	0	0	0	0	2.14580073030777	2.16175736395407	1.08657465495609	1.26723980245107	0	0	0	0	0	0	0	0	0	0	0.11562082777036	0.188671023965142	0.130736714975845	6.81770468859342	3.71673819742489	0.853482260183968	1.68740431454419	0	0	0	0	0	0	0	0	0	0.840368753032508
zOTU_1051	0.519140190117325	0.103638104356151	0	0	0	0	0	0	0	0	0	0	0.376767457037198	0	0.158245774326176	0	0.168253351466874	0.842002916869227	0	0	0	0	0	0	0	0	0	0	1.00882010317857	0	0	0	0	0	0	0	0	0	0	0	0	0.346862483311081	0	0.261473429951691	0.303009097270819	0.844713226687476	0.142247043363995	0.120528879610299	0	0	0	0	0	0	0	0	0	1.40061458838751
zOTU_1054	0	0	0	0	0	0	0	0	0	0	0	0	0.0941918642592995	0	0	0	0	0	0.105084334425434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303009097270819	0	0	0	0	0	0	0	0	0	0	0	0	0
