SampleID	slope	angle
Mouse_62.8	0.0141967529703694	0.813359387331557
Mouse_66.8	0.0136467166481798	0.781850735124941
Mouse_0.16	0.0128932146710362	0.738685855010286
Mouse_8.8	0.0116785450709519	0.669100925320245
Mouse_1.8	0.0106925391518137	0.61261401958843
Mouse_63.8	0.0104817678830449	0.600539068944932
Mouse_0.24	0.00986731229205923	0.56533700215286
Mouse_65.8	0.00927925005838969	0.531646606690773
Mouse_71.8	0.00925009992441517	0.529976570388144
Mouse_10.8	0.00881674868332181	0.505149399580672
Mouse_15.8	0.00831185356097212	0.476223162247669
Mouse_19.8	0.0081918377084628	0.469347228635119
Mouse_7.8	0.00697599135012316	0.399688378826878
Mouse_0.8	0.00578381228789627	0.3313843384155
Mouse_5.8	0.00551297708912343	0.315867119744039
Mouse_67.8	0.00541842631401274	0.310449921217362
Mouse_47.8	0.00538216345348316	0.308372272947014
Mouse_59.8	0.00536065765033989	0.307140116742147
Mouse_41.8	0.00535843495117743	0.307012769119037
Mouse_27.8	0.00506915494369567	0.290438696252312
Mouse_9.8	0.00498491046140641	0.285611964949333
Mouse_6.8	0.00464334514111275	0.266042167404949
Mouse_64.8	0.00460213533436343	0.263681069860008
Mouse_42.8	0.00459333074768717	0.263176614866854
Mouse_60.8	0.0041663355193855	0.238712060086667
Mouse_70.8	0.00395514312965399	0.22661182706279
Mouse_46.8	0.00358745506787997	0.205545152808044
Mouse_45.8	0.00337062212054008	0.193121690484739
Mouse_33.8	0.00278240965984257	0.15941991898703
Mouse_26.8	0.0025937815668855	0.148612403488605
Mous_12.8	0.00252399590472931	0.144614005759307
Mouse_39.8	0.00243249217384403	0.139371260372872
Mouse_58.8	0.00239810066513785	0.137400783568201
Mouse_23.8	0.00228842225532924	0.131116708093829
Mouse_51.8	0.00166029696748194	0.095127921565716
Mouse_49.8	0.00140198298541826	0.0803276553841357
Mouse_38.8	0.00136272025794663	0.0780780711068495
Mouse_25.8	0.00133342677599482	0.0763996812740295
Mouse_43.8	0.00127407057818448	0.0729988274331894
Mouse_36.8	0.00117080744597822	0.06708229462514
Mouse_40.8	0.00116287995332672	0.0666280833725099
Mouse_22.8	0.00100706073352195	0.0577003102381621
Mouse_57.8	0.000992112331285	0.0568438307353081
Mouse_56.8	0.000926011858161746	0.0530565560864423
Mouse_24.8	0.000866132679568444	0.0496257346281238
Mouse_52.8	0.000654490783166269	0.037499554251226
Mouse_55.8	0.000606487176802636	0.0347491512990408
Mouse_34.8	0.000567122141505891	0.032493701693086
Mouse_29.8	0.000543916193963665	0.0311640992496915
Mouse_28.8	0.000530430100079736	0.0303914032110022
Mouse_30.8	0.000492024572362711	0.0281909291382158
Mous_21.8	0.000360730465767076	0.0206683323337429
Mouse_37.8	4.24636883083915e-05	0.00243299012116749
Mouse_50.8	2.8295524970335e-05	0.00162121415947456
Mouse_53.8	2.75631577787541e-05	0.00157925261037586
Mouse_32.8	1.73756773997306e-05	0.000995552981085224
Mouse_31.8	1.82393070190452e-06	0.000104503531343347
Mouse_54.8	1.13081648756008e-06	6.47910121409731e-05
