	GVHD_Control_TP1	GVHD_Control_TP1.1	GVHD_Antibiotics_TP1	GVHD_Antibiotics_TP1.1	GVHD_Antibiotics_TP1.2	GVHD_Antibiotics_TP1.3	GVHD_Antibiotics_TP1.4	GVHD_Antibiotics_TP1.5	GVHD_Antibiotics_TP1.6	BM_Antibiotics_TP1	BM_Antibiotics_TP1.1	BM_Antibiotics_TP1.2	BM_Control_TP1	BM_Control_TP1.1	BM_Control_TP1.2	GVHD_Control_TP2	GVHD_Control_TP2.1	GVHD_Control_TP2.2	GVHD_Control_TP2.3	GVHD_Antibiotics_TP2	GVHD_Antibiotics_TP2.1	GVHD_Antibiotics_TP2.2	GVHD_Antibiotics_TP2.3	GVHD_Antibiotics_TP2.4	BM_Antibiotics_TP2	BM_Antibiotics_TP2.1	BM_Antibiotics_TP2.2	BM_Control_TP2	BM_Control_TP2.1	GVHD_Control_TP3	GVHD_Control_TP3.1	GVHD_Antibiotics_TP3	GVHD_Antibiotics_TP3.1	GVHD_Antibiotics_TP3.2	GVHD_Antibiotics_TP3.3	GVHD_Antibiotics_TP3.4	GVHD_Antibiotics_TP3.5	GVHD_Antibiotics_TP3.6	BM_Antibiotics_TP3	BM_Antibiotics_TP3.1	BM_Antibiotics_TP3.2	BM_Control_TP3	BM_Control_TP3.1	Steady_state_TP2	Steady_state_TP2.1	Steady_state_TP3	GVHD_Control_TP4	GVHD_Control_TP4.1	GVHD_Antibiotics_TP4	GVHD_Antibiotics_TP4.1	GVHD_Antibiotics_TP4.2	GVHD_Antibiotics_TP4.3	GVHD_Antibiotics_TP4.4	GVHD_Antibiotics_TP4.5	BM_Antibiotics_TP4	BM_Antibiotics_TP4.1	BM_Antibiotics_TP4.2	BM_Control_TP4
zOTU_1	54.7486511946562	21.230253709909	50.6444683136412	0	0.505902192242833	1.89300411522634	0	0.0992555831265509	0	0.0662690523525514	0	0	10.8657820317598	18.872414424309	17.7341251713111	2.230397792596	18.758500097144	4.24161400097229	0.24268899405412	0	0.395256916996047	0	0	0	0	0	0	2.77777777777778	2.04692960559161	10.4857501344327	15.1088348271447	0	0	0	0	0	0	0	0	0	0	0.61415220293725	5.96949891067538	0	0	0	14.8488830486202	13.4585942936674	0.0579038795599305	0	0	0	0	0.318471337579618	24.4426751592357	0.206825232678387	0.0808407437348424	0
zOTU_10	2.72330221803545	1.08903781713739	0	0	0	0	0	0	0	0	0	0	0.978899282140526	0.402709134175362	0.255824577432618	0.551851000229938	0.0582863804157762	1.94457948468644	0.266957893459532	0	0	0	0	0	0	0	0	0.234741784037559	2.19670494258612	0.268865388062377	0.283519297603805	0	0	0	0	0	0	0	0	0	0	1.2283044058745	0.272331154684096	0.860507246376812	1.53953813855843	1.58017947717519	0.772010512483574	0.570633263743911	0	0	0	0	0	0	0	0	0	2.08636584182436
zOTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0.0326299760713509	0.494233937397035	0	0.160956541733732	0.0194287934719254	0.0243072435585805	0	0	0	0	0	0	0	0	0	0.234741784037559	0.449326010983525	0.0179243592041585	0.0365831351746845	0	0	0	0	0	0	0	0	0	0	0.0400534045393858	0.163398692810458	0.951086956521739	0.612316305108467	0.0975419430355053	0	0.11134307585247	0	0	0	0	0	0	0	0	0	0.194080543425522
zOTU_1000	0.0171276869058834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0097143967359627	0	0	0	0	0	0	0	0	0	0	0	0	0.0179243592041585	0.0182915675873422	0	0	0	0	0	0	0	0	0	0	0.0267022696929239	0	0.0452898550724638	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0.0108766586904503	0.109829763866008	0.201005025125628	0	0.0388575869438508	0.0729217306757414	0.012134449702706	0	0	0	0	0	0	0	0	0.0652060511215441	0.149775336994508	0	0.0274373513810134	0	0	0	0	0	0	0	0	0	0	0.146862483311081	0.0326797385620915	0.0301932367149758	0.0699790062981106	0.351150994927819	0.0328515111695138	0.11134307585247	0	0	0	0	0	0	0	0	0	0.161733786187935
zOTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195083886071011	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133511348464619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0732198425773385	0.0182731841023298	0.0689813750287422	0	0.0121536217792902	0	0	0	0	0	0	0	0	0	0.0391236306729265	0.133133632884007	0.0179243592041585	0.00914578379367112	0	0	0	0	0	0	0	0	0	0	0.0133511348464619	0.0217864923747277	0.317028985507246	0.122463261021693	0.0975419430355053	0	0.0556715379262352	0	0	0	0	0	0	0	0.103412616339193	0	0.0323467572375869
zOTU_1011	0.00856384345294168	0	0	0	0	0	0	0	0	0	0	0	0.0870132695236023	0.0915248032216731	0	0	0.0388575869438508	0.364608653378707	0.0728066982162359	0	0	0	0	0	0	0	0	0	0.116491928773506	0.0896217960207923	0.0457289189683556	0	0	0	0	0	0	0	0	0	0	0.0667556742323097	0.065359477124183	0.226449275362319	0.0174947515745276	0.0975419430355053	0.0821287779237845	0.0139178844815588	0	0	0	0	0	0	0	0	0	0.0485201358563804
zOTU_1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0364033491081179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174947515745276	0	0	0	0	0	0	0	0	0	0	0	0	0.0485201358563804
zOTU_1017	0	0	0	0	0	0	0	0	0	0	0	0	0.0543832934522515	0.0915248032216731	0	0	0.0388575869438508	0.0121536217792902	0.0606722485135299	0	0	0	0	0	0	0	0	0.0782472613458529	0.0499251123315027	0	0.0182915675873422	0	0	0	0	0	0	0	0	0	0	0.120160213618158	0.065359477124183	0.271739130434783	0.174947515745276	0.175575497463909	0	0	0	0	0	0	0	0	0	0	0	0.145560407569141
