zOTUId	GVHD_Control_TP1	GVHD_Control_TP1.1	GVHD_Antibiotics_TP1	GVHD_Antibiotics_TP1.1	GVHD_Antibiotics_TP1.2	GVHD_Antibiotics_TP1.3	GVHD_Antibiotics_TP1.4	GVHD_Antibiotics_TP1.5	GVHD_Antibiotics_TP1.6	BM_Antibiotics_TP1	BM_Antibiotics_TP1.1	BM_Antibiotics_TP1.2	BM_Control_TP1	BM_Control_TP1.1	BM_Control_TP1.2	GVHD_Control_TP2	GVHD_Control_TP2.1	GVHD_Control_TP2.2	GVHD_Control_TP2.3	GVHD_Antibiotics_TP2	GVHD_Antibiotics_TP2.1	GVHD_Antibiotics_TP2.2	GVHD_Antibiotics_TP2.3	GVHD_Antibiotics_TP2.4	BM_Antibiotics_TP2	BM_Antibiotics_TP2.1	BM_Antibiotics_TP2.2	BM_Control_TP2	BM_Control_TP2.1	GVHD_Control_TP3	GVHD_Control_TP3.1	GVHD_Antibiotics_TP3	GVHD_Antibiotics_TP3.1	GVHD_Antibiotics_TP3.2	GVHD_Antibiotics_TP3.3	GVHD_Antibiotics_TP3.4	GVHD_Antibiotics_TP3.5	GVHD_Antibiotics_TP3.6	BM_Antibiotics_TP3	BM_Antibiotics_TP3.1	BM_Antibiotics_TP3.2	BM_Control_TP3	BM_Control_TP3.1	Steady_state_TP2	Steady_state_TP2.1	Steady_state_TP3	GVHD_Control_TP4	GVHD_Control_TP4.1	GVHD_Antibiotics_TP4	GVHD_Antibiotics_TP4.1	GVHD_Antibiotics_TP4.2	GVHD_Antibiotics_TP4.3	GVHD_Antibiotics_TP4.4	GVHD_Antibiotics_TP4.5	BM_Antibiotics_TP4	BM_Antibiotics_TP4.1	BM_Antibiotics_TP4.2	BM_Control_TP4	taxonomy
zOTU_1	6393	1774	2829	0	6	23	0	2	0	1	0	0	999	1031	1941	97	1931	349	20	0	7	0	0	0	0	0	0	213	123	585	1652	0	0	0	0	0	0	0	0	0	0	46	548	0	0	0	904	967	1	0	0	0	0	9	307	2	1	0	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiotales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila
zOTU_10	318	91	0	0	0	0	0	0	0	0	0	0	90	22	28	24	6	160	22	0	0	0	0	0	0	0	0	18	132	15	31	0	0	0	0	0	0	0	0	0	0	92	25	57	88	81	47	41	0	0	0	0	0	0	0	0	0	129	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;unclassified_Alistipes
zOTU_100	0	0	0	0	0	0	0	0	0	0	0	0	3	27	0	7	2	2	0	0	0	0	0	0	0	0	0	18	27	1	4	0	0	0	0	0	0	0	0	0	0	3	15	63	35	5	0	8	0	0	0	0	0	0	0	0	0	12	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale
zOTU_1000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum;Faecalibaculum rodentium
zOTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	1	6	22	0	4	6	1	0	0	0	0	0	0	0	0	5	9	0	3	0	0	0	0	0	0	0	0	0	0	11	3	2	4	18	2	8	0	0	0	0	0	0	0	0	0	10	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;unclassified_Alistipes
zOTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacillota;Clostridia;Eubacteriales;unclassified_Eubacteriales;unidentified;unidentified
zOTU_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;unclassified_Lachnospiraceae;unidentified
zOTU_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	1	0	0	0	0	0	0	0	0	0	3	8	1	1	0	0	0	0	0	0	0	0	0	0	1	2	21	7	5	0	4	0	0	0	0	0	0	0	1	0	2	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale
zOTU_1011	1	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	4	30	6	0	0	0	0	0	0	0	0	0	7	5	5	0	0	0	0	0	0	0	0	0	0	5	6	15	1	5	5	1	0	0	0	0	0	0	0	0	0	3	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;unclassified_Bacteroidaceae;unidentified
zOTU_1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacillota;Clostridia;Eubacteriales;unclassified_Eubacteriales;unidentified;unidentified
