	Richness	Normalized.Richness	Effective.Richness	Shannon.Index	Shannon.Effective	Simpson.Index	Simpson.Effective	Evenness
BM_Antibiotics_TP1	24	24	20	2.03104267334158	7.62	0.228185558616492	4.38	0.442979124261568
BM_Antibiotics_TP1.1	22	22	19	2.06760874628898	7.91	0.213903087360209	4.68	0.463648492253548
BM_Antibiotics_TP1.2	21	21	18	2.04588511640469	7.74	0.220998371056241	4.52	0.46578717325725
BM_Antibiotics_TP2	20	20	18	1.93724616423351	6.94	0.243948620094765	4.1	0.448236555930946
BM_Antibiotics_TP2.1	21	21	19	1.92775807161399	6.87	0.254370512748036	3.93	0.438893159591915
BM_Antibiotics_TP2.2	21	22	19	1.99021055502663	7.32	0.244480856755803	4.09	0.453111732022213
BM_Antibiotics_TP3	23	23	18	2.04591104330236	7.74	0.215834123152963	4.63	0.452278771281755
BM_Antibiotics_TP3.1	22	22	18	1.98769621219596	7.3	0.23826176	4.2	0.445728600005612
BM_Antibiotics_TP3.2	19	19	18	2.08156076303794	8.02	0.200828884794658	4.98	0.490017957333392
BM_Antibiotics_TP4	28	28	23	2.19773263925216	9	0.179010811797639	5.59	0.457160470754571
BM_Antibiotics_TP4.1	26	26	19	2.04257916605879	7.71	0.233529642632947	4.28	0.434550656649328
BM_Antibiotics_TP4.2	24	24	17	2.00452370185369	7.42	0.220186789825176	4.54	0.437195222761016
BM_Control_TP1	138	156	47	3.44973926193143	31.49	0.0978559283042458	10.22	0.485296109327163
BM_Control_TP1.1	159	174	64	4.00838561699517	55.06	0.0582693840838116	17.16	0.548126592686496
BM_Control_TP1.2	116	126	38	3.30682260320505	27.3	0.10352850677241	9.66	0.482186026113876
BM_Control_TP2	118	126	58	3.71420602144995	41.03	0.0585245908107701	17.09	0.539648212875768
BM_Control_TP2.1	155	155	61	4.15953489394323	64.04	0.0369264985308967	27.08	0.571669018045942
BM_Control_TP3	193	210	68	4.3795027795757	79.8	0.0340975862788123	29.33	0.576822859593228
BM_Control_TP3.1	118	130	51	3.71242084148278	40.95	0.0518207384624147	19.3	0.539388838685597
BM_Control_TP4	213	213	72	4.51907725771973	91.75	0.0329495641440564	30.35	0.584259458933351
GVHD_Antibiotics_TP1	30	30	24	1.8746488797386	6.52	0.298253497792355	3.35	0.382044156724492
GVHD_Antibiotics_TP1.1	22	22	17	1.8990282391981	6.68	0.263708015333575	3.79	0.425845354654952
GVHD_Antibiotics_TP1.2	24	24	20	1.96056569959437	7.1	0.260811206629338	3.83	0.427607793801149
GVHD_Antibiotics_TP1.3	27	27	18	2.06921782895389	7.92	0.219975274771799	4.55	0.435177031635849
GVHD_Antibiotics_TP1.4	22	23	19	1.96948147779167	7.17	0.252020643300945	3.97	0.441644058305685
GVHD_Antibiotics_TP1.5	22	22	17	1.94641688375218	7	0.2399514805214	4.17	0.436471965534244
GVHD_Antibiotics_TP1.6	21	21	18	1.98575522333526	7.28	0.2352007651485	4.25	0.452097385548012
GVHD_Antibiotics_TP2	21	23	18	1.93648579312383	6.93	0.258809837744552	3.86	0.44088020211862
GVHD_Antibiotics_TP2.1	22	26	20	2.0586329958194	7.84	0.230180959884149	4.34	0.461635735643027
GVHD_Antibiotics_TP2.2	21	21	18	2.06887915000896	7.92	0.216367524171057	4.62	0.47102223060648
GVHD_Antibiotics_TP2.3	21	21	18	1.96770103230489	7.15	0.241845904620093	4.13	0.447986983386106
GVHD_Antibiotics_TP2.4	21	21	19	2.06204757349317	7.86	0.212945872010901	4.7	0.469466883882139
GVHD_Antibiotics_TP3	20	20	19	2.03886770080927	7.68	0.22924624638004	4.36	0.471749565482396
GVHD_Antibiotics_TP3.1	22	22	18	2.03302955225184	7.64	0.21928074700671	4.56	0.455894321544298
GVHD_Antibiotics_TP3.2	23	23	19	2.06835023630586	7.91	0.210295792143264	4.76	0.457239285412318
GVHD_Antibiotics_TP3.3	22	22	20	1.88622250698796	6.59	0.286627011320962	3.49	0.422973748292244
GVHD_Antibiotics_TP3.4	24	24	18	2.05608368559976	7.82	0.23056971409806	4.34	0.448440676510737
GVHD_Antibiotics_TP3.5	21	21	18	2.09786214802988	8.15	0.188624399298092	5.3	0.477620796973887
GVHD_Antibiotics_TP3.6	22	22	18	2.09304028715492	8.11	0.211596896376279	4.73	0.469351358233072
GVHD_Antibiotics_TP4	45	45	23	2.55085927088734	12.82	0.124033328762269	8.06	0.464480609030153
GVHD_Antibiotics_TP4.1	44	44	32	2.63205734213203	13.9	0.131264781511404	7.62	0.482111971720053
GVHD_Antibiotics_TP4.2	43	43	28	2.32972790476876	10.28	0.205824449332895	4.86	0.429342837123815
GVHD_Antibiotics_TP4.3	30	30	22	2.17849227439053	8.83	0.211665890839903	4.72	0.443965935645722
GVHD_Antibiotics_TP4.4	44	44	31	2.54999980660829	12.81	0.146282186489371	6.84	0.467081554406351
GVHD_Antibiotics_TP4.5	51	51	31	2.69363031258452	14.79	0.133328975858084	7.5	0.474863951518898
GVHD_Control_TP1	81	85	34	2.46495806232338	11.76	0.30650558964783	3.26	0.388803845706417
GVHD_Control_TP1.1	45	45	27	2.73646724638268	15.43	0.110964571769287	9.01	0.498277575598575
GVHD_Control_TP2	145	145	60	3.94955075819651	51.91	0.0445837936012967	22.43	0.550083672185924
GVHD_Control_TP2.1	131	131	49	3.65914963756428	38.83	0.0719739597545775	13.89	0.520251609602382
GVHD_Control_TP2.2	180	180	58	4.02147841597351	55.78	0.061644564051891	16.22	0.536780201675827
GVHD_Control_TP2.3	168	168	60	4.04257997458221	56.97	0.0516922992744317	19.35	0.546862336041654
GVHD_Control_TP3	145	179	53	3.82673541820503	45.91	0.0671615361950128	14.89	0.532978255048779
GVHD_Control_TP3.1	125	135	45	3.562988580354	35.27	0.0781284812153764	12.8	0.511498552747222
GVHD_Control_TP4	133	133	54	3.81916060543042	45.57	0.0508534701728999	19.66	0.541319307957529
GVHD_Control_TP4.1	141	155	65	3.92382992064869	50.59	0.0507848979815193	19.69	0.549590545256088
Steady_state_TP2	132	132	60	4.04868099498536	57.32	0.0333534530414945	29.98	0.574738001080791
Steady_state_TP2.1	191	216	79	4.58473502792912	97.98	0.0250648738198694	39.9	0.605051546108364
Steady_state_TP3	174	174	65	4.16418079523106	64.34	0.0399599236957885	25.03	0.559480371919203
