	Richness	Normalized.Richness	Effective.Richness	Shannon.Effective	Simpson.Effective
BM_Antibiotics_TP1	24	24	20	7.62	4.38
BM_Antibiotics_TP1.1	22	22	19	7.91	4.68
BM_Antibiotics_TP1.2	21	21	18	7.74	4.52
BM_Antibiotics_TP2	20	20	18	6.94	4.1
BM_Antibiotics_TP2.1	21	21	19	6.87	3.93
BM_Antibiotics_TP2.2	21	22	19	7.32	4.09
BM_Antibiotics_TP3	23	23	18	7.74	4.63
BM_Antibiotics_TP3.1	22	22	18	7.3	4.2
BM_Antibiotics_TP3.2	19	19	18	8.02	4.98
BM_Antibiotics_TP4	28	28	23	9	5.59
BM_Antibiotics_TP4.1	26	26	19	7.71	4.28
BM_Antibiotics_TP4.2	24	24	17	7.42	4.54
BM_Control_TP1	138	156	47	31.49	10.22
BM_Control_TP1.1	159	174	64	55.06	17.16
BM_Control_TP1.2	116	126	38	27.3	9.66
BM_Control_TP2	118	126	58	41.03	17.09
BM_Control_TP2.1	155	155	61	64.04	27.08
BM_Control_TP3	193	210	68	79.8	29.33
BM_Control_TP3.1	118	130	51	40.95	19.3
BM_Control_TP4	213	213	72	91.75	30.35
GVHD_Antibiotics_TP1	30	30	24	6.52	3.35
GVHD_Antibiotics_TP1.1	22	22	17	6.68	3.79
GVHD_Antibiotics_TP1.2	24	24	20	7.1	3.83
GVHD_Antibiotics_TP1.3	27	27	18	7.92	4.55
GVHD_Antibiotics_TP1.4	22	23	19	7.17	3.97
GVHD_Antibiotics_TP1.5	22	22	17	7	4.17
GVHD_Antibiotics_TP1.6	21	21	18	7.28	4.25
GVHD_Antibiotics_TP2	21	23	18	6.93	3.86
GVHD_Antibiotics_TP2.1	22	26	20	7.84	4.34
GVHD_Antibiotics_TP2.2	21	21	18	7.92	4.62
GVHD_Antibiotics_TP2.3	21	21	18	7.15	4.13
GVHD_Antibiotics_TP2.4	21	21	19	7.86	4.7
GVHD_Antibiotics_TP3	20	20	19	7.68	4.36
GVHD_Antibiotics_TP3.1	22	22	18	7.64	4.56
GVHD_Antibiotics_TP3.2	23	23	19	7.91	4.76
GVHD_Antibiotics_TP3.3	22	22	20	6.59	3.49
GVHD_Antibiotics_TP3.4	24	24	18	7.82	4.34
GVHD_Antibiotics_TP3.5	21	21	18	8.15	5.3
GVHD_Antibiotics_TP3.6	22	22	18	8.11	4.73
GVHD_Antibiotics_TP4	45	45	23	12.82	8.06
GVHD_Antibiotics_TP4.1	44	44	32	13.9	7.62
GVHD_Antibiotics_TP4.2	43	43	28	10.28	4.86
GVHD_Antibiotics_TP4.3	30	30	22	8.83	4.72
GVHD_Antibiotics_TP4.4	44	44	31	12.81	6.84
GVHD_Antibiotics_TP4.5	51	51	31	14.79	7.5
GVHD_Control_TP1	81	85	34	11.76	3.26
GVHD_Control_TP1.1	45	45	27	15.43	9.01
GVHD_Control_TP2	145	145	60	51.91	22.43
GVHD_Control_TP2.1	131	131	49	38.83	13.89
GVHD_Control_TP2.2	180	180	58	55.78	16.22
GVHD_Control_TP2.3	168	168	60	56.97	19.35
GVHD_Control_TP3	145	179	53	45.91	14.89
GVHD_Control_TP3.1	125	135	45	35.27	12.8
GVHD_Control_TP4	133	133	54	45.57	19.66
GVHD_Control_TP4.1	141	155	65	50.59	19.69
Steady_state_TP2	132	132	60	57.32	29.98
Steady_state_TP2.1	191	216	79	97.98	39.9
Steady_state_TP3	174	174	65	64.34	25.03
